title,descr,price,img-src
Ensalada Mexicana Lomo + Agua,"Ensalada con 154 g de lomo de res, guacamole, frijol refrito, maíz, tomate, tortillas de maíz, lechuga y suero costeño + agua",$ 32.900,https://images.rappi.com/products/tmp734153602492888568113673486.png?d=300x300&e=webp&q=10
Ensalada Mexicana Lomo,"Ensalada con 154 g de lomo de res, guacamole, frijol refrito, maíz, tomate, tortillas de maíz, lechuga y suero costeño",$ 30.900,https://images.rappi.com/products/tmp5834025212476147461247563954.png?d=300x300&e=webp&q=10
Ensalada Cobb + Agua,"Ensalada con 154 g de pechuga de pollo, tocineta, huevo en trozos, jamón, queso tipo mozzarella, aguacate, tomate, maíz, lechuga y aderezo + agua",$ 33.900,https://images.rappi.com/products/tmp7341551511376911966198048205.png?d=300x300&e=webp&q=10
Ensalada Corral En Combo,"154 G de pechuga de pollo, huevo en rodajas, jamón, queso mozzarella y queso parmesano, pepinillos, tomate, maíz y lechuga + papas medianas (corral o en cascos) + bebida pet",$ 36.900,https://images.rappi.com/products/tmp7322736414810448837185775802.png?d=300x300&e=webp&q=10
Ensalada Mexicana Vek + Agua,"Ensalada con guacamole, frijol refrito, tortillas de maíz, tomate, maíz, lechuga y suero costeño + agua",$ 25.900,https://images.rappi.com/products/tmp734152462616457392340426552.png?d=300x300&e=webp&q=10
Ensalada Mexicana Vek En Combo,"Ensalada con guacamole, frijol refrito, tortillas de maíz, tomate, maíz, lechuga y suero costeño + papas medianas (corral o en cascos) + bebida pet",$ 30.900,https://images.rappi.com/products/tmp7322750115769351683881418731.png?d=300x300&e=webp&q=10
Ensalada Corral,"Ensalada con 154 g de pechuga de pollo, huevo en rodajas, jamón, una combinación de queso tipo mozzarella y queso parmesano, pepinillos, tomate, maíz, lechuga y aderezo",$ 29.900,https://images.rappi.com/products/tmp583402393717677123437286705.png?d=300x300&e=webp&q=10
Ensalada Cobb,"Ensalada con 154 g de pechuga de pollo, tocineta, huevo en trozos, jamón, queso tipo mozzarella, aguacate, tomate, maíz, lechuga y aderezo",$ 31.900,https://images.rappi.com/products/tmp583402736254408332959544731.png?d=300x300&e=webp&q=10
Ensalada Cobb En Combo,"154 G de pechuga de pollo, tocineta, huevo en trozos, jamón, queso tipo mozzarella, aguacate, tomate, maíz, lechuga y aderezo + papas medianas (corral o en cascos) + bebida pet",$ 38.900,https://images.rappi.com/products/tmp732272711611829874817230483.png?d=300x300&e=webp&q=10
Ensalada Corral + Agua,"Ensalada con 154 g de pechuga de pollo, huevo en rodajas, jamón, una combinación de queso tipo mozzarella y queso parmesano, pepinillos, tomate, maíz, lechuga y aderezo + agua",$ 31.900,https://images.rappi.com/products/tmp734152151668932490124074663.png?d=300x300&e=webp&q=10
Ensalada Mexicana Lomo En Combo,"Ensalada con 154 g de lomo de res, guacamole, frijol refrito, maíz, tomate, tortillas de maíz, lechuga y suero costeño + papas medianas (corral o en cascos) + bebida pet",$ 37.900,https://images.rappi.com/products/tmp732274343275456905497405234.png?d=300x300&e=webp&q=10
Ensalada Mexicana Vek,"Ensalada con guacamole, frijol refrito, tortillas de maíz, tomate, maíz, lechuga y suero costeño",$ 23.900,https://images.rappi.com/products/tmp5833988313344564267067822420.png?d=300x300&e=webp&q=10
