title,descr,price,img-src
Vaquero Especial En Combo,"Perro caliente con salchicha a la parrilla, queso tipo mozzarella, tocineta, papa callejera, cebolla picada y salsas en pan perro + papas medianas (corral o en cascos) + bebida pet",$ 34.900,https://images.rappi.com/products/tmp806542362128293981812850121.png?d=300x300&e=webp&q=10
Vaquero Callejero En Combo,"Perro caliente con salchicha a la parrilla, papa callejera, cebolla picada, salsa blanca, salsa de tomate y mostaza en pan perro + papas medianas (corral o en cascos) + bebida pet.",$ 26.900,https://images.rappi.com/products/tmp654241356679149977253896670.png?d=300x300&e=webp&q=10
Vaquero Hawaiano En Combo,"Perro caliente con salchicha a la parrilla, queso tipo mozzarella, papa callejera, piña y salsas en pan perro + papas medianas (corral o en cascos) + bebida pet",$ 30.900,https://images.rappi.com/products/tmp6542443317821339248024091095.png?d=300x300&e=webp&q=10
Vaquero Corralero En Combo,"Salchicha a la parrilla con queso americano, trozos de cebolla grille, tocineta, salsa blanca y salsa bbq en pan perro + papas medianas (corral o en cascos) + bebida pet",$ 34.900,https://images.rappi.com/products/tmp6542423010875963319900864014.png?d=300x300&e=webp&q=10
Vaquero Piña Crunchy En Combo,"Salchicha a la parrilla con cebollitas crunchy, queso tipo mozzarella, tocineta, salsa blanca, salsa de tomate y salsa de piña en pan perro+papas medianas+bebida pet",$ 34.900,https://images.rappi.com/products/tmp6542448610974078726580822333.png?d=300x300&e=webp&q=10
Vaquero Callejero Con Bebida,"Perro caliente con salchicha a la parrilla, papa callejera, cebolla picada, salsa blanca, salsa de tomate y mostaza en pan perro + bebida pet",$ 21.900,https://images.rappi.com/products/tmp6543707111696817212873977170.png?d=300x300&e=webp&q=10
Vaquero Hawaiano Con Bebida,"Perro caliente con salchicha a la parrilla, queso tipo mozzarella, papa callejera, piña, salsa blanca y salsa de tomate en pan perro + bebida pet",$ 25.900,https://images.rappi.com/products/tmp6543704311432578728201809638.png?d=300x300&e=webp&q=10
Vaquero Corralero Con Bebida,"Salchicha a la parrilla con queso americano, trozos de cebolla grille, tocineta, salsa blanca y salsa bbq en pan perro + bebida pet",$ 29.900,https://images.rappi.com/products/tmp6542435110283604994023359603.png?d=300x300&e=webp&q=10
Vaquero Piña Crunchy Con Bebida,"Salchicha a la parrilla con cebollitas crunchy, queso tipo mozzarella, tocineta, salsa blanca, salsa de tomate y salsa de piña en pan perro + bebida pet",$ 29.900,https://images.rappi.com/products/tmp654243929951200029137447857.png?d=300x300&e=webp&q=10
Vaquero Especial Con Bebida,"Perro caliente con salchicha a la parrilla, queso tipo mozzarella, tocineta, papa callejera, cebolla picada, salsa blanca, salsa de tomate y mostaza en pan perro + bebida pet",$ 29.900,https://images.rappi.com/products/tmp654371273544753789776025575.png?d=300x300&e=webp&q=10
Vaquero Callejero,"Perro caliente con salchicha a la parrilla, papa callejera, cebolla picada, salsa blanca, salsa de tomate y mostaza en pan perro",$ 19.900,https://images.rappi.com/products/tmp65424282845136012118470323.png?d=300x300&e=webp&q=10
Vaquero Hawaino,"Perro caliente con salchicha a la parrilla, queso tipo mozzarella, papa callejera, piña, salsa blanca y salsa de tomate en pan perro",$ 23.900,https://images.rappi.com/products/tmp6542437817349100388451346423.png?d=300x300&e=webp&q=10
Vaquero Corralero,"Salchicha a la parrilla con queso americano, trozos de cebolla grille, tocineta, salsa blanca y salsa bbq en pan perro",$ 27.900,https://images.rappi.com/products/tmp6542418918116311161382249249.png?d=300x300&e=webp&q=10
Vaquero Piña Crunchy,"Salchicha a la parrilla con cebollitas crunchy, queso tipo mozzarella, tocineta, salsa blanca, salsa de tomate y salsa de piña en pan perro",$ 27.900,https://images.rappi.com/products/tmp654241229044865173169954949.png?d=300x300&e=webp&q=10
Vaquero Especial,"Perro caliente con salchicha a la parrilla, queso tipo mozzarella, tocineta, papa callejera, cebolla picada, salsa blanca, salsa de tomate y mostaza en pan perro",$ 27.900,https://images.rappi.com/products/tmp6542405017071807983001105983.png?d=300x300&e=webp&q=10
