title,descr,price,img-src
Mccombo Grande Doble Hamburguesa Con Queso,"Lleva una hamburguesa con dos carnes de 50gr c/u, dos tajadas de queso cheddar, salsa de tomate, mostaza, cebolla picada y pepinillos, papas grandes y gaseosa grande (21oz) a elección.",$ 26.900,https://images.rappi.com/products/tmp5361280911252664021404063328.png?d=300x300&e=webp&q=10
Mccombo Grande Big Mac,"Elige tu mccombo™ con hamburguesa con dos carnes de res de 50gr c/u, cebolla, pepinillos, lechuga, queso cheddar, pan en el centro y nuestra salsa especial big mac con papas grandes y gaseosa grande a elegir",$ 30.900,https://images.rappi.com/products/tmp573061269670002648711336784.png?d=300x300&e=webp&q=10
Mccombo Grande Doble Cuarto De Libra,"Elige tu mccombo™ de hamburguesa con dos carnes de res de 125gr c/u, pepinillos, cebolla, doble queso cheddar, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir",$ 40.900,https://images.rappi.com/products/tmp573062286924396462477573396.png?d=300x300&e=webp&q=10
Mccombo Grande Mcnifica,"Elige tu mccombo™ de hamburguesa con carne de res de 125gr, queso cheddar, lechuga, tomate, cebolla, salsa de tomate, mayonesa y mostaza con papas grandes y gaseosa grande a elegir",$ 33.900,https://images.rappi.com/products/tmp5730630916524471561078514279.png?d=300x300&e=webp&q=10
Mccombo Grande Mcnifica Doble,"Elige tu mccombo™ de hamburguesa con dos carne de res de 125gr c/u, queso cheddar, lechuga, tomate, cebolla, salsa de tomate, mayonesa y mostaza con papas grandes y gaseosa grande a elegir",$ 40.900,https://images.rappi.com/products/tmp5730641216774715964899719942.png?d=300x300&e=webp&q=10
Mccombo Grande Mcbacon,"Elige tu mccombo™ de hamburguesa con dos carnes de res de 50gr c/u, tocineta, queso cheddar, cebolla, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir",$ 30.900,https://images.rappi.com/products/tmp573065156010176295569088492.png?d=300x300&e=webp&q=10
Mccombo Grande Triple Hamburguesa Con Queso,"Elige tu mccombo™ de hamburguesa con tres carne de 50gr c/u, doble queso cheddar, cebolla, pepinillos, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir",$ 29.900,https://images.rappi.com/products/tmp5730678811479053696257077529.png?d=300x300&e=webp&q=10
Mccombo Grande Chicken Mcnuggets De 10 Piezas,Elige tu mccombo™ de 10 piezas de pollo apanados acompañados de papas grandes y gaseosa grande a elegir,$ 32.900,https://images.rappi.com/products/tmp5730702816858983046076744798.png?d=300x300&e=webp&q=10
Mccombo Grande Chicken Mcnuggets De 20 Piezas,Elige tu mccombo™ de 20 piezas de pollo apanados con papas grandes y gaseosa grande a elegir.,$ 53.900,https://images.rappi.com/products/tmp5730707616940152551941416702.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Mccrispy Legend 1 Pollo,"Elige tu mccombo de hamburguesa con un pollo crispy de 125gr, salsa cbo, cebolla crispy,  tocineta, queso y lechuga con papas grandes y gaseosa grande a elegir.",$ 38.900,https://images.rappi.com/products/tmp573071363509981529848563445.png?d=300x300&e=webp&q=10
Mccombo Grande Pollo Mccrispy Legend 2 Pollos,"Elige tu mccombo de hamburguesa con dos pollos crispy de 125gr c/u, salsa cbo, cebolla crispy,  tocineta, queso y lechuga con papas grandes y gaseosa grande a elegir.",$ 43.900,https://images.rappi.com/products/tmp573071878628211248923272360.png?d=300x300&e=webp&q=10
